0,	0.000000,	0.000000
1,	0.006136,	0.000000
2,	0.012272,	0.000000
3,	0.018407,	0.000000
4,	0.024541,	0.000000
5,	0.030675,	0.000000
6,	0.036807,	0.000000
7,	0.042938,	0.000000
8,	0.049068,	0.000000
9,	0.055195,	0.000000
10,	0.061321,	0.000000
11,	0.067444,	0.000000
12,	0.073565,	0.000000
13,	0.079682,	0.000000
14,	0.085797,	0.000000
15,	0.091909,	0.000000
16,	0.098017,	0.000000
17,	0.104122,	0.000000
18,	0.110222,	0.000000
19,	0.116319,	0.000000
20,	0.122411,	0.000000
21,	0.128498,	0.000000
22,	0.134581,	0.000000
23,	0.140658,	0.000000
24,	0.146730,	0.000000
25,	0.152797,	0.000000
26,	0.158858,	0.000000
27,	0.164913,	0.000000
28,	0.170962,	0.000000
29,	0.177004,	0.000000
30,	0.183040,	0.000000
31,	0.189069,	0.000000
32,	0.195090,	0.000000
33,	0.201105,	0.000000
34,	0.207111,	0.000000
35,	0.213110,	0.000000
36,	0.219101,	0.000000
37,	0.225084,	0.000000
38,	0.231058,	0.000000
39,	0.237024,	0.000000
40,	0.242980,	0.000000
41,	0.248928,	0.000000
42,	0.254866,	0.000000
43,	0.260794,	0.000000
44,	0.266713,	0.000000
45,	0.272621,	0.000000
46,	0.278520,	0.000000
47,	0.284408,	0.000000
48,	0.290285,	0.000000
49,	0.296151,	0.000000
50,	0.302006,	0.000000
51,	0.307850,	0.000000
52,	0.313682,	0.000000
53,	0.319502,	0.000000
54,	0.325310,	0.000000
55,	0.331106,	0.000000
56,	0.336890,	0.000000
57,	0.342661,	0.000000
58,	0.348419,	0.000000
59,	0.354164,	0.000000
60,	0.359895,	0.000000
61,	0.365613,	0.000000
62,	0.371317,	0.000000
63,	0.377007,	0.000000
64,	0.382683,	0.000000
65,	0.388345,	0.000000
66,	0.393992,	0.000000
67,	0.399624,	0.000000
68,	0.405241,	0.000000
69,	0.410843,	0.000000
70,	0.416430,	0.000000
